Dataset,Link
Barcelona,https://data.mendeley.com/datasets/snkd93bnjr/draft?a=d9582c71-9af0-4e59-9062-df30df05a121
Jiangxi Tecom,https://github.com/zxaoyou/segmentation_WBC
Jin Woo Choi,https://github.com/JinwooChoi9/wbc_plosone
BCCD,https://universe.roboflow.com/wbcs/wbcs-iabt8
LISC,http://users.cecs.anu.edu.au/~hrezatofighi/Data/Leukocyte%20Data.htm
Munich 2021,https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=101941770
Munich 2019,https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=61080958#610809587633e163895b484eafe5794e2017c585
Raabin,https://raabindata.com/
JSLH,https://jslh-cs.com/
Tianjin,https://www.nature.com/articles/s41598-023-29331-3
,

